Question,Answer,Category
What is fever,A temporary increase in body temperature often caused by infection.,General
What is cardiovascular disease,A group of conditions affecting the heart and blood vessels including coronary artery disease and heart failure.,Cardiovascular
What is blood pressure,The force of blood pushing against artery walls.,Cardiovascular
What is anemia,A condition where the body lacks enough healthy red blood cells.,Blood
Symptoms of dengue,"High fever, headache, joint pain, and skin rash.",Infectious Disease
Symptoms of diabetes,"Frequent urination, increased thirst, fatigue, blurred vision.",Chronic Disease
What is hypertension,A condition where blood pressure is consistently too high.,Cardiovascular
What is cholesterol,A fatty substance found in the blood needed for cell building.,Cardiovascular
What causes common cold,Viral infection affecting the upper respiratory tract.,Respiratory
Symptoms of flu,"Fever, cough, sore throat, body aches, fatigue.",Respiratory
What is dehydration,A condition where the body loses more fluids than it takes in.,General
Symptoms of asthma,"Shortness of breath, wheezing, chest tightness.",Respiratory
What is migraine,A neurological condition causing severe recurring headaches.,Neurology
What is malaria,Malaria is a mosquito-borne infectious disease caused by Plasmodium parasites.,Infectious Disease
What causes malaria,Malaria is caused by Plasmodium parasites transmitted through the bite of infected female Anopheles mosquitoes.,Infectious Disease
Symptoms of malaria,"Fever, chills, sweating, headache, nausea.",Infectious Disease
What is obesity,Excess body fat that increases risk of health problems.,Lifestyle
Symptoms of anemia,"Fatigue, weakness, pale skin, shortness of breath.",Blood
What is vitamin deficiency,Lack of essential vitamins required for body function.,Nutrition
Symptoms of food poisoning,"Nausea, vomiting, stomach cramps, diarrhea.",Digestive
What is heart attack,Blocked blood flow to the heart muscle.,Cardiovascular
Symptoms of heart attack,"Chest pain, shortness of breath, sweating.",Cardiovascular
What is stroke,A condition where blood supply to part of the brain is interrupted.,Neurology
Symptoms of stroke,"Sudden numbness, confusion, trouble speaking.",Neurology
What is pneumonia,Infection that inflames air sacs in the lungs.,Respiratory
Symptoms of pneumonia,"Cough, fever, chest pain, difficulty breathing.",Respiratory
What is tuberculosis,A bacterial infection mainly affecting the lungs.,Infectious Disease
